"PO_BLANKET_ID","PO_RELEASE_ID","LINE_ID","SHIPMENT_ID","CATEGORY_ID","CANCEL_FLAG","UOM","AMOUNT","QTY","GEOGRAPHY_ID","CONTRACT_ID","CONTRACT_LINE_ID","ORIGINAL_DUE_DATE","LATEST_DUE_DATE","SHIPMENT_LINE"
32839,58684,117156,117156,30,"N","Each",12179.25,75,209,32839,38308,02/FEB/05,02/FEB/05,1
32840,58685,117157,117157,32,"N","Each",1281.75,75,209,32840,38314,02/FEB/05,02/FEB/05,1
32840,58685,117158,117158,114,"N","Each",1923,75,209,32840,38315,02/FEB/05,02/FEB/05,2
32843,58686,117159,117159,114,"N","Each",15100.5,75,209,32843,38332,02/FEB/05,02/FEB/05,1
32843,58686,117161,117161,111,"N","Each",2243.25,75,209,32843,38334,02/FEB/05,02/FEB/05,3
32844,58687,117162,117162,32,"N","Each",11922.75,75,209,32844,38346,02/FEB/05,02/FEB/05,1
32844,58687,117163,117163,114,"N","Each",128.25,75,209,32844,38347,02/FEB/05,02/FEB/05,2
32844,58687,117164,117164,34,"N","Each",2884.5,75,209,32844,38348,02/FEB/05,02/FEB/05,3
32984,58688,117165,117165,91,"N","Each",10.5,5,209,32984,38529,31/JAN/05,31/JAN/05,1
32984,58688,117166,117166,91,"N","Each",21707,70,209,32984,38530,26/JAN/05,26/JAN/05,2
32984,58688,117167,117167,91,"N","Each",19767,20,209,32984,38531,26/JAN/05,26/JAN/05,3
32840,58777,117314,117314,114,"N","Each",570.24,99,207,32840,38309,02/FEB/05,02/FEB/05,1
32840,58777,117315,117315,114,"N","Each",1816.45,85,207,32840,38310,03/FEB/05,03/FEB/05,2
32840,58777,117316,117316,114,"N","Each",1816.45,85,207,32840,38311,03/FEB/05,03/FEB/05,3
32843,58779,117323,117323,114,"N","Each",1006.7,5,207,32843,38332,02/FEB/05,02/FEB/05,1
32844,58780,117324,117324,114,"N","Each",42.57,99,207,32844,38340,02/FEB/05,02/FEB/05,1
32844,58780,117325,117325,114,"N","Each",97.75,85,207,32844,38341,03/FEB/05,03/FEB/05,2
32844,58780,117326,117326,114,"N","Each",97.75,85,207,32844,38342,03/FEB/05,03/FEB/05,3
32984,58781,117327,117327,91,"N","Each",16125.2,52,207,32984,38530,27/JAN/05,27/JAN/05,1
32984,58781,117328,117328,91,"N","Each",22732.05,23,207,32984,38531,27/JAN/05,27/JAN/05,2
32839,58833,117450,117450,30,"N","Each",15555.28,104,207,32839,38307,03/FEB/05,03/FEB/05,1
32839,58833,117451,117451,30,"N","Each",5521.26,34,207,32839,38308,04/FEB/05,04/FEB/05,2
